year,ndocs,1,2,3,4,5,6,7,8
2013,62,0.128138592057137,0.13050314755216,0.120666199189044,0.0920648847630786,0.136862268409484,0.109953888683782,0.116037661799525,0.165773357545789
2014,66,0.0849856155702076,0.19356462026893,0.0856752998697114,0.121090829904331,0.0868968123960032,0.179485315010477,0.11054746209459,0.137754044885751
2015,156,0.0780591714235419,0.0967873039764639,0.159990963173459,0.150727061829242,0.124074466835414,0.14142916434632,0.121760677434338,0.127171190981221
2016,80,0.0750440630621093,0.119264032536659,0.0717744613843998,0.134677308564848,0.153573862368157,0.211007546020253,0.115485687195549,0.119173038868024
2017,110,0.110223172503334,0.119005548071938,0.157525513009178,0.0868674506321798,0.138445402629469,0.16788917748238,0.119861186740153,0.100182548931368
2018,49,0.132700850550086,0.101800135721891,0.0936431510586613,0.111534625127656,0.14216215411805,0.151486823674963,0.135260532140598,0.131411727608094
2019,46,0.202061795043934,0.0939419298233712,0.067492125002367,0.0695933488768669,0.161150629812301,0.147856221094042,0.15735460853467,0.100549341812448
2020,20,0.120341114509764,0.180437185854455,0.0532806860556184,0.0869445710974077,0.141143667742485,0.157248399382755,0.145470122299058,0.115134253058456
2021,21,0.142138150556424,0.100914114990471,0.102067189878958,0.0747361474275463,0.204672765662514,0.118280168583143,0.129143272081392,0.128048190819551
