Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
anchorage,camp,year,village,state,polar_bear,arctic,ice
alaska,alaska,dog,ice,alaska,list,drill,warm
film,june,iditarod,whale,support,bear,oil,scientist
people,age,race,island,good,sea_ice,shell,arctic
work,cost,time,mile,global_warm,walrus,plan,year
