Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
eskimo,river,alaska,alaska,village,arctic,ice,race
people,work,oil,anchorage,storm,warm,man,davis
film,fuel,walrus,state,mine,scientist,day,trail
alaska,day,project,meet,people,year,whale,year
find,truck,bird,public,build,alaska,mile,snow
