terms_1,prob_1,terms_2,prob_2,terms_3,prob_3,terms_4,prob_4,terms_5,prob_5,terms_6,prob_6,terms_7,prob_7,terms_8,prob_8
eskimo,0.0161113260217257,river,0.014330245519733,alaska,0.0182831431932121,alaska,0.0201810480857072,village,0.0210306461570796,arctic,0.017480703463318,ice,0.0313531907272463,race,0.0187364085429958
people,0.013497548276475,work,0.0123475828037054,oil,0.0120022382861123,anchorage,0.0185200564737148,storm,0.0102591721728165,warm,0.0141984393363474,man,0.0131076709538041,davis,0.0134078373201607
film,0.0100473616527439,fuel,0.00893299701499113,walrus,0.00926147978119611,state,0.00891003357575901,mine,0.00999645329515153,scientist,0.0136690418965134,day,0.0131076709538041,trail,0.0113916211817907
alaska,0.00952460610369379,day,0.00794166565697732,project,0.00880468669704341,meet,0.00677447293176883,people,0.00907693722332418,year,0.0102808982815759,whale,0.00918992130919999,year,0.0111035903048807
find,0.00879274833502358,truck,0.00728077808496811,bird,0.00846209188392888,public,0.00665583067376938,build,0.00868285890682675,alaska,0.00953974186580834,mile,0.00907798560506845,snow,0.0102394976741507
live,0.00795633945654333,barge,0.00717063015629991,gas,0.00811949707081435,program,0.0058253348677732,week,0.00776334283499941,university,0.00805742903427319,bear,0.00840637138027917,lead,0.00764721978196062
write,0.00774723723692327,foot,0.00695033429896351,population,0.00777690225769982,community,0.00570669260977375,state,0.00736926451850197,glacier,0.00805742903427319,reach,0.00829443567614762,nome,0.00750320434350562
hunt,0.00701537946825306,tanana,0.0067300384416271,information,0.00709171263147076,group,0.00523212357777593,crab,0.00684382676317207,change,0.0077397905703728,ship,0.00795862856375298,team,0.00750320434350562
year,0.00680627724863299,camp,0.0066198905129589,report,0.00697751436043258,center,0.00523212357777593,fish,0.00671246732433959,temperature,0.00731627261850561,begin,0.00762282145135834,break,0.00750320434350562
time,0.00638807280939287,horton,0.0063995946556225,national,0.00686331608939441,member,0.00511348131977648,year,0.00644974844667463,degree,0.00678687517867164,winter,0.00739895004309524,mile,0.00735918890505062
life,0.00638807280939287,run,0.0063995946556225,state,0.00674911781835623,road,0.00499483906177702,million,0.00644974844667463,tundra,0.00625747773883765,head,0.00672733581830596,win,0.00735918890505062
native,0.00617897058977281,mile,0.0062894467269543,biologist,0.00663491954731805,wednesday,0.00475755454577812,resident,0.00644974844667463,time,0.00615159825087086,late,0.00661540011417442,time,0.00721517346659562
place,0.00607441947996278,boat,0.0061792987982861,study,0.00663491954731805,alaskan,0.00475755454577812,work,0.00631838900784216,world,0.00615159825087086,point,0.00650346441004287,make,0.00707115802814062
work,0.00555166393091263,engine,0.0061792987982861,sea,0.005949729921089,include,0.00463891228777866,st_paul,0.00631838900784216,sea_ice,0.00604571876290406,close,0.00627959300177978,ride,0.00692714258968561
good,0.0054471128211026,pilot,0.0060691508696179,number,0.005949729921089,u.s,0.00440162777177975,live,0.0060556701301772,north,0.00593983927493727,seal,0.00627959300177978,run,0.00678312715123061
van,0.0054471128211026,crew,0.0060691508696179,land,0.00572133337901264,official,0.00440162777177975,harbor,0.0060556701301772,earth,0.00593983927493727,made,0.00594378588938514,musher,0.00678312715123061
leave,0.00534256171129256,line,0.00584885501228149,satellite,0.00572133337901264,year,0.00440162777177975,home,0.00592431069134473,area,0.00551632132307008,crew,0.0056079787769905,machine,0.00663911171277561
family,0.00534256171129256,hour,0.00562855915494509,winter,0.00560713510797447,friday,0.00440162777177975,local,0.00579295125251225,science,0.00541044183510329,barrow,0.0056079787769905,start,0.00649509627432061
hunter,0.00534256171129256,water,0.00551841122627689,fly,0.00560713510797447,school,0.00440162777177975,move,0.00553023237484729,show,0.00541044183510329,north,0.00549604307285895,people,0.0062070653974106
arctic,0.0051334594916725,spend,0.00518796744027229,scientist,0.00537873856589811,environmental,0.0042829855137803,island,0.00539887293601482,record,0.0050928033712029,expedition,0.00549604307285895,drive,0.0057750190820456
picture,0.00502890838186247,move,0.00496767158293588,early,0.00515034202382176,law,0.0042829855137803,cost,0.00526751349718234,alaska's,0.00488104439526931,south,0.00516023596046431,safety,0.00534297276668059
book,0.00492435727205244,back,0.00441693193959487,wind,0.00503614375278358,learn,0.00404570099778139,water,0.00500479461951739,climate,0.00488104439526931,wind,0.00493636455220122,mark,0.00505494188977059
father,0.00492435727205244,job,0.00441693193959487,federal,0.00503614375278358,call,0.00392705873978194,city,0.00500479461951739,carbon,0.00488104439526931,island,0.00460055743980657,snowmachine,0.00505494188977059
man,0.00481980616224241,travel,0.00430678401092667,bering_sea,0.00480774721070723,saturday,0.00380841648178248,time,0.00461071630301996,research,0.00466928541933571,carry,0.00448862173567503,part,0.00491092645131558
make,0.00461070394262235,deep,0.00430678401092667,large,0.00469354893966905,thursday,0.00380841648178248,create,0.00461071630301996,big,0.00466928541933571,rescue,0.00437668603154348,place,0.00491092645131558
return,0.00461070394262235,time,0.00419663608225847,north_slope,0.00469354893966905,issue,0.00357113196578357,pound,0.00461071630301996,cold,0.00445752644340212,land,0.00437668603154348,partner,0.00491092645131558
give,0.00450615283281232,channel,0.00419663608225847,work,0.00457935066863088,cook_inlet,0.00357113196578357,production,0.00461071630301996,happen,0.00445752644340212,brower,0.00437668603154348,iditarod,0.00476691101286058
late,0.00440160172300229,season,0.00408648815359027,alaska's,0.0044651523975927,vote,0.00345248970778412,harvest,0.00461071630301996,increase,0.00445752644340212,leave,0.00426475032741194,blizzard,0.00462289557440557
story,0.00440160172300229,current,0.00408648815359027,low,0.0044651523975927,tuesday,0.00345248970778412,problem,0.00447935686418748,melt,0.00445752644340212,drive,0.00426475032741194,dog,0.00462289557440557
call,0.00429705061319226,minute,0.00397634022492207,site,0.00412255758447817,bill,0.00345248970778412,money,0.004347997425355,plant,0.00445752644340212,walk,0.00426475032741194,die,0.00462289557440557
cemetery,0.00429705061319226,become,0.00386619229625387,survey,0.00412255758447817,area,0.00345248970778412,protect,0.004347997425355,year_ago,0.00435164695543532,turn,0.00415281462328039,eye,0.00462289557440557
made,0.00419249950338223,long,0.00375604436758567,burn,0.00400835931343999,fish,0.00333384744978466,day,0.004347997425355,understand,0.00424576746746853,water,0.00404087891914884,good,0.00447888013595058
great,0.00419249950338223,rig,0.00375604436758567,group,0.00389416104240182,april,0.00333384744978466,past,0.004347997425355,global_warm,0.00413988797950173,road,0.00392894321501729,lose,0.00447888013595058
hollywood,0.00398339728376217,drive,0.00364589643891747,route,0.00389416104240182,club,0.00333384744978466,big,0.004347997425355,summer,0.00403400849153493,west,0.00392894321501729,anchorage,0.00433486469749557
igloo,0.00387884617395214,ground,0.00364589643891747,company,0.00377996277136364,good,0.00321520519178521,school,0.004347997425355,weather,0.00382224951560134,food,0.00392894321501729,record,0.00433486469749557
snowshoe,0.00387884617395214,field,0.00364589643891747,team,0.00377996277136364,sign,0.00321520519178521,government,0.00421663798652252,long,0.00382224951560134,boat,0.00392894321501729,finish,0.00433486469749557
pungowiyi,0.00387884617395214,gallon,0.00364589643891747,count,0.00366576450032547,cost,0.00321520519178521,business,0.00408527854769004,water,0.00371637002763455,fly,0.00381700751088575,track,0.00404683382058557
thing,0.00366974395433208,radio,0.00364589643891747,pipeline,0.00366576450032547,student,0.00321520519178521,shishmaref,0.00408527854769004,human,0.00371637002763455,make,0.00381700751088575,freeze,0.00404683382058557
inupiat,0.00366974395433208,leave,0.00353574851024927,spend,0.00366576450032547,education,0.0029779206757863,villager,0.00395391910885757,effect,0.00371637002763455,find,0.00381700751088575,include,0.00404683382058557
woman,0.00356519284452204,yukon,0.00353574851024927,decline,0.00366576450032547,sunday,0.0029779206757863,summer,0.00382255967002509,part,0.00361049053966775,point_barrow,0.00381700751088575,iron_dog,0.00404683382058557
