filename,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
text1200,0.616600791,0.035573123,0.031620553,0.023715415,0.043478261,0.059288538,0.043478261,0.039525692,0.043478261,0.063241107
text229,0.613445378,0.013445378,0.040336134,0.011764706,0.067226891,0.05210084,0.013445378,0.112605042,0.063865546,0.011764706
text663,0.61341853,0.038338658,0.015974441,0.14057508,0.041533546,0.057507987,0.028753994,0.022364217,0.019169329,0.022364217
text996,0.611275964,0.041543027,0.026706231,0.017804154,0.050445104,0.029673591,0.080118694,0.047477745,0.044510386,0.050445104
text896,0.610655738,0.036885246,0.049180328,0.032786885,0.032786885,0.032786885,0.073770492,0.06147541,0.045081967,0.024590164
text1269,0.608695652,0.028985507,0.038647343,0.028985507,0.048309179,0.072463768,0.048309179,0.043478261,0.057971014,0.024154589
text938,0.604554865,0.051759834,0.026915114,0.022774327,0.037267081,0.026915114,0.080745342,0.022774327,0.080745342,0.045548654
text1095,0.602803738,0.021028037,0.023364486,0.070093458,0.039719626,0.042056075,0.03271028,0.042056075,0.028037383,0.098130841
text117,0.598039216,0.023529412,0.023529412,0.023529412,0.056862745,0.054901961,0.064705882,0.060784314,0.023529412,0.070588235
text168,0.595541401,0.044585987,0.054140127,0.031847134,0.038216561,0.022292994,0.038216561,0.070063694,0.082802548,0.022292994
text698,0.595360825,0.054123711,0.030927835,0.149484536,0.041237113,0.020618557,0.020618557,0.020618557,0.033505155,0.033505155
text455,0.590457256,0.06361829,0.029821074,0.015904573,0.07554672,0.035785288,0.039761431,0.021868787,0.095427435,0.031809145
text444,0.589420655,0.050377834,0.017632242,0.060453401,0.040302267,0.083123426,0.04534005,0.060453401,0.025188917,0.027707809
text922,0.588709677,0.072580645,0.052419355,0.040322581,0.048387097,0.044354839,0.028225806,0.056451613,0.036290323,0.032258065
text1167,0.587188612,0.046263345,0.042704626,0.035587189,0.074733096,0.049822064,0.053380783,0.024911032,0.042704626,0.042704626
text1094,0.583596215,0.034700315,0.018927445,0.03785489,0.047318612,0.072555205,0.025236593,0.085173502,0.03785489,0.056782334
text840,0.581818182,0.112727273,0.04,0.032727273,0.04,0.047272727,0.021818182,0.054545455,0.04,0.029090909
text1100,0.568965517,0.020114943,0.043103448,0.014367816,0.07183908,0.07183908,0.028735632,0.060344828,0.043103448,0.077586207
text656,0.568,0.036,0.032,0.044,0.04,0.092,0.08,0.032,0.032,0.044
text973,0.563573883,0.024054983,0.034364261,0.030927835,0.048109966,0.020618557,0.041237113,0.020618557,0.030927835,0.18556701
text600,0.561764706,0.029411765,0.026470588,0.147058824,0.023529412,0.067647059,0.026470588,0.023529412,0.029411765,0.064705882
text697,0.555555556,0.031746032,0.031746032,0.058201058,0.047619048,0.08994709,0.042328042,0.068783069,0.047619048,0.026455026
text1404,0.55483871,0.029032258,0.074193548,0.032258065,0.029032258,0.096774194,0.029032258,0.064516129,0.048387097,0.041935484
